id,name,description,category,base_en,base_tp,op_1_desc,op_1_en,op_1_tp,op_2_desc,op_2_en,op_2_tp,op_3_desc,op_3_en,op_3_tp,type,mechanic,percentage,duration,defense
27,Crush,"Roll a Strength Attack against target creature grappled by you; upon success, the target takes damage equal to your Strength attack bonus multiplied by 2. (Strength + Martial Bonus)*2. Targets Fortitude",Strength,2,2,"2 EN to double this damage, +2 EN more to triple it, and so on.",2,1,,,,,,,Technique,false,false,false,
28,Body Block,"Make a Strength Attack roll against target creature grappled by you; on success creature becomes the target of an attack made against you. If the attack would cause the grappled creature to go into negative Health, you take all damage after 0 instead. If the grappled creature is already dead or dying, it instead reduces the damage by its Fortitude bonus. If this is the only part, this can be done as a Basic Reaction. Targets Might",Strength,3,2,,,,,,,,,,Technique,false,false,false,
29,Restrain,"Make a Strength Attack roll against target creature grappled by you; on success it gains the Restrained condition while grappled. They may roll Might against your Style Potency to break free of restraint, but still remain grappled if it is broken. Targets Might",Strength,2,2,,,,,,,,,,Technique,false,false,false,
30,Takedown,"Make a Strength Attack roll against target creature grappled by you; on success it becomes prone. As long as they remain grappled by you, they cannot stand from prone. Targets Might",Strength,3,2,,,,,,,,,,Technique,false,false,false,
31,Throw Creature,Make a Strength Attack roll against target creature grappled by you; on success throw target grappled creature as if they were a thrown weapon with a range of 3 spaces. 1d8 damage is split between the thrown creature and object or creature hit +1 damage for each 100 kg the creature weighs. Creature must weigh under 1/2 of your carrying capacity. Targets Might,Strength,3,2,3 EN for each +3 to the thrown range,3,1,1 EN for each +1d2 to the thrown damage,1,1,,,,Technique,false,false,false,
32,Throw Weapon,"Throw any weapon even if it doesn't have the 'Thrown' property, treating it as a thrown weapon with 3 spaces of range, rolling a Strength attack roll with proficiency against a target, and dealing damage equal to the weapon’s damage as normal.",Strength,1.5,2,3 EN for each +3 to the thrown range,1,1,,,,,,,Technique,false,false,false,
33,Leap,"Jump without taking a movement action. If this is the only part, this can be done as a free action.",Strength,1.5,2,1.5 EN to double your jumping distance. +1.5 EN more to triple your jumping distance.,1.5,1,,,,,,,Technique,false,false,false,
34,Reduce Multiple Action Penalty,"Reduce the multiple action penalty this turn by 1. If this is the only part, this can be done as a free action.",General,1,2,1 EN for each additional 1 decrease.,1,1,,,,,,,Technique,false,false,false,
35,Demolition,"Damage dealt by Technique deals double damage to objects, walls, ceilings, etc.",Strength,2,2,"2 EN and +1 TP to triple damage dealt to objects, walls, ceilings, instead.",2,2,,,,,,,Technique,false,false,false,
36,Slam,"Target hit rolls Fortitude against your Style Potency (which has +1 for every 200 kg you weigh). Upon failure, target takes damage equal to your Vitality + your Martial Bonus.",Vitality,4,2,"4 EN to double this damage. +4 EN more to triple, and so on.",4,1,,,,,,,Technique,false,false,false,
37,Head Butt,"Roll Fortitude against target’s Fortitude; upon a success, target takes damage equal to your Vitality + your Martial Bonus; on a failure, you take damage equal to target’s Fortitude.",Vitality,1.5,2,"1.5 EN to double this damage. +1.5 EN more to triple, and so on.",1.5,1,,,,,,,Technique,false,false,false,
38,Weaken (Technique),Target hit gains the weakened 1 condition.,Vitality,3,2,3 EN for each level of weakened.,3,1,,,,,,,Technique,false,false,false,
39,Make Vulnerable,Target hit gains the Vulnerable 1 condition.,Vitality,2.5,2,2.5 EN for each level of Vulnerable.,2.5,1,,,,,,,Technique,false,false,false,
40,Brace,"Take the Brace action as part of this Technique. If this is the only part, this can be done as a free action.",Vitality,2,2,"2 EN to double the brace reduction, +2 EN more to triple it, and so on.",2,1,,,,,,,Technique,false,false,false,
41,Parry,"Roll a melee attack against a target’s melee attack roll against you. Upon meeting or exceeding their attack roll, you cause their attack to miss. If this is the only part added, it can be done as a Reaction.",Agility,4,2,,,,,,,,,,Technique,false,false,false,
42,Unarmed Hit(s),Add a single unarmed prowess hit to your attack in addition to any attack made as part of the Technique.,Agility,2,2,4 EN add a second unarmed prowess hit.,4,1,6 EN add a third unarmed prowess hit.,6,1,,,,Technique,false,false,false,
43,Agile Knock Prone,"Target hit rolls Reflex against your Style Potency, falling prone on a failure.",Agility,3,2,,,,,,,,,,Technique,false,false,false,
44,Charge,Add +1 to damage for every 2 spaces moved in the direction of target.,Agility,3,2,"3 EN to add +1 for every 1 space you move in the direction of the target. +3 EN more to make this +2 for every 1 space, and so on.",3,1,,,,,,,Technique,false,false,false,
45,Quick Strike/Shot,Use Agility instead of another ability on a roll to hit.,Agility,2,2,5 EN to instead to add 1/2 Agility to your attack roll. +3 EN to add your full Agility to your attack roll.,3,1,,,,,,,Technique,false,false,false,
46,Disarm,"Target hit rolls Might or Reflex against your Style Potency, +3 to target’s roll if the item you’re disarming is two-handed. Upon failure, target drops target item.",Agility,3,2,,,,,,,,,,Technique,false,false,false,
47,Break Sight,"Move from one location to another within a target’s Melee Range and roll Stealth or Hide against their Perceive Score; upon a success, you have the hidden condition to that target.",Agility,2.5,2,,,,,,,,,,Technique,false,false,false,
48,Disengage,"Move one space away from a target after it attacks you. If this is the only part of the Technique, it can be used as a Quick Reaction.",Agility,1.5,2,,,,,,,,,,Technique,false,false,false,
49,Catch Ranged Attack,"Roll Reflex against a physical ranged attack that passes through or targets a creature within one space. Upon meeting or beating the attack roll, catch the projectile and reduce the damage to 0. If this is the only part this can be done as a reaction.",Agility,2,2,"2 EN, caught projectiles can be rebounded as part of the same action in which they were caught by making a thrown improvised weapon attack.",2,1,,,,,,,Technique,false,false,false,
50,Catch Melee Attack,"Roll Reflex against a physical melee attack that passes through or targets a creature within one space. Upon meeting or beating the attack roll, catch the attack. During the same action in which the attack was caught, you have advantage on all physical d20 rolls against the target caught creature. This includes attack rolls. If this is the only part this can be done as a reaction.",Agility,4,2,,,,,,,,,,Technique,false,false,false,
51,Hide,"You gain the hidden condition from all creatures to which you are at least moderately obscured from without rolling to Stealth or Hide. Alternatively, you may choose to roll to Stealth or Hide. If this is the only Technique part, this can be done as a quick action.",Agility,3,2,,,,,,,,,,Technique,false,false,false,
52,Evade,You take the evade action as part of the Technique without spending action points.,Agility,2,2,2 EN for each equivalent of 1 action point spent on the Evade action.,2,1,,,,,,,Technique,false,false,false,
53,Maneuver,You take the movement action as part of the Technique without spending action points but only moving half of your movement speed.,Agility,2,2,2 EN to allow you to move your full movement speed.,2,1,,,,,,,Technique,false,false,false,
54,Side-Step,"When attacked, add +1 to your Evasion and you may move one space adjacent to your current space that is still within the attack’s range. If this is the only part, this can be done as a reaction. This can cause the attack to miss, but doesn't guarantee it.",Agility,2,2,2 EN for each +1 to your Evasion.,2,1,,,,,,,Technique,false,false,false,
55,Switch,Switch places with a willing creature within your melee range or an unwilling creature that you either hit with this attack or who fails a Might or Reflex roll against your Style Potency. This doesn’t trigger any effects based on moving in or out of melee range for you or the enemy.,Agility,2,2,,,,,,,,,,Technique,false,false,false,
56,Focus Hit,Gain a +1 bonus to your attack roll for every 2 spaces of movement you spend. Spent movement includes any speed gained from your movement action or other feats used this turn. This movement is forfeited and cannot be used to move.,Acuity,3,2,"3 EN to add +1 for every 1 space you spend. +3 EN more to make this +2 for every 1 space, and so on.",3,1,,,,,,,Technique,false,false,false,
57,Rush,Add +1 to attack roll for every 2 spaces moved in the direction of target.,Acuity,2.5,2,"2.5 EN to add +1 for every 1 space you move in the direction of the target. +2.5 EN more to make this +2 for every 1 space, and so on.",2.5,1,,,,,,,Technique,false,false,false,
58,Vital Point,Add 1/2 Acuity to your melee attack roll.,Acuity,3,2,3 EN to add your full Acuity to your melee attack roll.,3,1,,,,,,,Technique,false,false,false,
59,Feint,"Roll Act or Deceive against an enemy’s Insight score, gaining +1 to hit for each success.",Charisma,1.5,2,1.5 EN for every +1 to hit up to a maximum of +3.,1.5,1,,,,,,,Technique,false,false,false,
60,Goad,"Make a Taunt Roll against a target’s Resolve; upon success, the target becomes set on eliminating you specifically, gaining -5 to attack all creatures other than you for a round.",Charisma,2,2,"2 EN to target all creatures within 3 spaces that you can see, +2 EN for each additional 3 spaces of range.",2,1,,,,,,,Technique,false,false,false,
61,Menace,"Intimidate a target against their Resolve. If you succeed, you frighten the target. Target may roll Resolve against your Intimidate Score to end the condition, otherwise it ends in one minute.",Charisma,2.5,2,,,,,,,,,,Technique,false,false,false,
62,Rally,"Roll Perform or Charm against a target you can see. The score to overcome is equal to 10 - Target’s Resolve bonus. Upon success, the creature gains resilient 1.",Charisma,2.5,2,2.5 EN for each level of resilient. Each success increases resilient by +1. +2.5 EN for each additional target rallied.,2.5,1,,,,,,,Technique,false,false,false,
63,Defend,"Take the defend action as part of this Technique; if this is the only part added, this may be done as a free reaction.",Defensive,2.5,2,,,,,,,,,,Technique,false,false,false,
64,Resilience,Gain the Resilient 1 condition.,Defensive,2.5,2,2.5 EN for each level of Resilient.,2.5,1,,,,,,,Technique,false,false,false,
65,Clash,"When you are targeted by a physical attack and with a melee weapon you are wielding you may reduce the attack’s damage by your attack’s damage. If this is the only part of this Technique, it may be done as a quick reaction.",Defensive,2,2,,,,,,,,,,Technique,false,false,false,
66,Infiltrate,This attack ignores one damage resistance of your choice. Choose the type before attacking. (This ignores the effects of resistance but not damage reduction the target has.),Offensive,3,2,,,,,,,,,,Technique,false,false,false,
67,Hidden Attack,"Using an interaction plus ability action, hide this weapon with Sleight of Hand against target(s) Vigilance; if hidden from an enemy when you attack, get +2 on the roll to hit.",Offensive,2.5,2,,,,,,,,,,Technique,false,false,false,
68,Penetration,This Technique ignores up to 3 points of damage reduction from armor.,Offensive,1,2,1 EN For each additional 3 points of damage reduction from armor ignored.,1,1,,,,,,,Technique,false,false,false,
69,Pinning Weapon,Target hit with a melee or thrown piercing weapon attack rolls might against your style potency becoming immobile on a failure.,Control,2.5,2,2.5 EN to allow this attack to be ranged piercing weapons/projectiles.,2.5,1,,,,,,,Technique,false,false,false,
70,Command,Give any number of your remaining action points to a chosen willing target; they must use these action points to take actions as close to your explained desires as possible unless you choose not to give specific commands.,Control,1.5,2,,,,,,,,,,Technique,false,false,false,
71,Buck Shot,"Add additional projectile(s) to a physical ranged attack. (3 EN, +1 TP per each additional projectile, up to 4 total if shot, 4 per hand if thrown) Roll to hit only once, only hit one target. Must pay for added effects for each projectile.",Ranged,3,2,,,,,,,,,,Technique,false,false,false,
72,Spread Shot,"Add additional projectile(s) to a physical ranged attack. Each hits an individual target of your choice. Roll to hit for each target. Must pay EN cost for added effects for each projectile, excluding Training Point cost for additional effects on each projectile after the first.",Ranged,3,2,"4, +1 TP EN for every additional projectile. Up to 3 total if shot, 4 per hand if thrown",4,2,,,,,,,Technique,false,false,false,
73,Long Shot,Increase the range of this Technique by 2 spaces. Must be used in conjunction with a weapon with the “Range” or “Thrown” part.,Ranged,0.75,2,0.75 EN for every 2 additional spaces.,0.75,1,,,,,,,Technique,false,false,false,
74,Volley,Send a volley of projectiles that can reach over cover as high as half the range of your attack. A 2-space radius circle centered in a location you can see or at a distance you can describe if you can't see is hit by this attack. This attack targets the Reflexes of all creatures in the attack’s area of effect.,Ranged,2.5,2,5 EN to increase the ring’s radius by 1 to a maximum radius of 12 spaces.,2.5,1,,,,,,,Technique,false,false,false,
75,Piercing,Each target on a path to the target is a target of this attack. This attack can pass through targets on its path to a target.,Ranged,2.5,2,,,,,,,,,,Technique,false,false,false,
76,Curved Shot,This attack ignores the penalties of attacking an obscured target unless that target is fully obscured on all sides except the side facing away from you (the target does not need to be fully obscured from behind).,Ranged,2.5,2,,,,,,,,,,Technique,false,false,false,
77,First Blood,Make a basic attack before combat starts (when initiative has already been rolled but before any creature takes their first turn). If this is the only part this may be done as a free reaction.,Offensive,6,2,,,,,,,,,,Technique,false,false,false,
78,Splitting Shot,"When your ranged projectile hits or misses a target, all creatures within one space of that target (including the target) must roll Reflex and be affected by the attack on a failure.",Ranged,4,2,,,,,,,,,,Technique,false,false,false,
79,Attack / Potency Increase,25% Increase the attack roll or potency of this Power by +1.,General,1.25,2,"+25% EN for each additional +1, up to a maximum increase of +5.",0.25,0,,,,,,,Power,false,true,false,
80,Personal Power Linger,50% EN: Cause an offensive based Power to become an option for you to use each round using the same action which you spent to use it. Each round you may make another attack with this Power without spending the energy. You have this option for as long as the Power lingers.,General,1.5,2,+50% EN for each additional round of lingering (up to 10 rounds).,0.5,0,"-50% EN from the total cost of personal Power linger if the Power has focus, and/or does not directly harm a target or involve any adaptation parts. -50% EN from the total cost of personal Power linger to make the Power's effect activate only once more than the initial time during the lingering duration, after which it ends.",-0.5,0,50% To make using this Power on future turns take one less action point than the original action cost. (Basic action to quick action.),0.5,0,Power,false,true,false,
81,Power Long Action,-12.5% EN: This Power uses a 3 Action Point Long Action.,Action,0.875,0,-25% EN: This Power uses a 4 Action Point Long Action.,-0.125,0,,,,,,,Power,true,true,false,
82,Power Reaction,25% EN: This Power uses a Basic (or other) reaction instead of action.,Action,1.25,0,,,,,,,,,,Power,true,true,false,
83,Power Quick or Free Action,25% EN: This Power uses a quick action to activate instead of a basic action.,Action,1.25,0,50% EN: This Power uses a free action to activate instead of a basic action,0.25,0,,,,,,,Power,true,true,false,
84,Rite,"You may use a Power for free if you spend 10 minutes casting it and it meets these criteria: The total EN cost is no more than ¼ of your maximum EN. It causes no damage or healing. Its function is to locate, identify, summon, or traverse something, communicate, or seek/obtain information. If summoning, the creature summoned is at most 12.5% of your level. You can only have one summon this way.",Action,0,2,-1 EN Use this to reduce cost.,-1,0,,,,,,,Power,true,false,false,
85,Long Rite,"-50% EN: You spend 1 hour to use this Power. The total EN cost must be no more than ¼ of your maximum EN. It may cause no damage or healing. Its function must be to locate, identify, summon, or traverse something, communicate, or seek/obtain information. If summoning, the creature summoned can be at most 1/4 of your level.",Action,0.5,2,,,,,,,,,,Power,true,true,false,
86,Trigger on Condition,"25% EN: Make the Power activate upon certain conditions (e.g., hitting with an attack, taking damage, falling below 0 Health). Upon activation, it casts as if you were casting it normally. This does not count as a reaction. Triggered Powers cannot have the 'long cast' part. A creature can only have 1 trigger Power affecting them at a time. This trigger has a duration of 1 hour ending after this time or when it is used.",Activation,1.25,2,50% EN instead to make it 1 day.,0.25,0,Double EN Instead to make it 10 days.,0.75,0,,,,Power,true,true,false,
87,Delayed Effect,"25% EN: When you use this Power its effect doesn't immediately go off and it doesn't require you to overcome any defenses. You may use a free reaction at any time to cause the Power to activate. For each round the Power doesn't activate you may add an additional effect to the Power, or increase an existing effect on the Power, equal to 1/8 of this Power's energy. This Power and its effects cannot have a duration longer than 1 minute. When the Power ends if it has not been activated it automatically activates then ends.",Activation,1.25,0,,,,,,,,,,Power,true,true,false,
88,Line of Effect,25% EN: Each creature occupying a space directly between you and the power's target is affected by this power. Roll attack and damage once and apply it to all creatures affected.,Area of Effect,1.25,0,,,,,,,,,,Power,true,true,false,
89,Cone of Effect,12.5% EN: Create a 45-degree angle cone that goes directly out from yourself for 2 spaces. Roll one attack against all targets' relevant defense.,Area of Effect,1.125,0,12.5% EN: Increase this effect by +1 space. ,0.125,0,,,,,,,Power,true,true,false,
90,Detect Creature Type,Detect the presence of a certain creature type within the range of this Power.,Detection,5,2,+2.5 EN for each additional creature type.,2.5,1,,,,,,,Power,false,false,false,
91,Detect Power,"Target becomes aware if there is any Power, magic, or supernatural effects active within a distance from the range of the Power.",Detection,9,2,"2.5 EN Target also learns what types of Power parts are involved (such as creation, adaptation, and so on).",2.5,1,,,,,,,Power,false,false,false,
92,Detect Damage,"Detect a certain damage type within the range of this Power, each creature or object capable of dealing that damage type becomes known to the target including the direction or an outline shown to the target of that thing when viewing it.",Detection,3,2,,,,,,,,,,Power,false,false,false,
93,Identify,"Target gains awareness of a target object in range's properties and magical or supernatural properties if any. Some properties may remain hidden until the object is used as intended, but most properties will be available (if not all) at the RM's discretion.",Detection,5,2,,,,,,,,,,Power,false,false,false,
94,Omen,"Gain awareness of future events that are likely to occur in the next 30 minutes based on yours and others planned courses of action. You know whether the coming events in this time are good, bad, good and bad, or neutral. Each time after the first you use this Power in 24 hours you have a 50% chance of it not working despite spending energy.",Detection,9,2,,,,,,,,,,Power,false,false,false,
95,Detect Traps,"Detect traps within the range of the spell. You see a faint outline or aura around any traps within the range. Traps are defined as mechanisms, Powers, or objects intended to be unknowingly triggered to harm or capture creatures.",Detection,5,2,,,,,,,,,,Power,false,false,false,
96,Locate Animals,"You learn the direction, path, and location of the closest of a specific animal or beast type of your choice when you use this Power provided it is within 2 kilometers.",Detection,4,2,+0.75 EN for each additional 2 kilometers.,0.75,1,,,,,,,Power,false,false,false,
97,Locate Plants,"You learn the direction, path, and location of the closest of a specific plant or herb type of your choice when you use this Power provided it is within 2 kilometers.",Detection,4,2,+0.75 EN for each additional 2 kilometers.,0.75,1,,,,,,,Power,false,false,false,
98,Locate Object,"You learn the direction, path, and location of the closest of a specific object of your choice that is familiar to you when you use this Power provided it is within 300 meters.",Detection,6,2,+0.75 EN for each additional 300 meters.,0.75,1,,,,,,,Power,false,false,false,
99,Locate Creature,"You learn the direction, path, and location of the closest of a specific creature of your choice that is familiar to you when you use this Power provided it is within 300 meters. If the creature is not in its normal form then this Power fails to locate it.",Detection,13,2,+0.75 EN for each additional 300 meters.,0.75,1,,,,,,,Power,false,false,false,
100,Locate Creature on Overcome,If you overcome a creature's defense with any part of this Power you also learn its exact location for the next round including how far it is from you and in what direction. While detected this way it cannot be hidden from you. If this Power doesn't have an attack roll you may target Mental Fortitude instead.,Detection,3,1,,,,,,,,,,Power,false,false,false,
101,Detect Invisibility,"You can see invisible things and creatures as if they were not invisible. You ignore the effects of the invisible condition for these creatures and objects. If this is an area of effect you may choose to cause each creature affected to gain this effect, or instead cause the area to reveal all invisible things instead. If you target a creature to end or remove its ability to be invisible this target's evasion.",Detection,7,2,,,,,,,,,,Power,false,false,false,
102,See Through Illusion,"Visual illusions are invisible to you, and you automatically overcome anything targeting discernment related to this type of illusion.",Detection,11,2,,,,,,,,,,Power,false,false,false,
103,Sensor,"Create a tiny invisible and silent sensor that you can move up to the range of this Power as a quick action. You can choose to hear, see, taste, or feel through this sensor as if it was an extension of your senses.",Detection,9,2,,,,,,,,,,Power,false,false,false,
104,Scry,"A silent invisible sensor appears within 2 spaces of target creature or location that remains within the location or 2 spaces of range as the creature moves. You can sense through it as if it's an extension of your vision and hearing. Target's Mental Fortitude or Resolve. You gain +5 to overcome if you know the target well or -5 if you've only heard of the target. In addition, you gain +2 to overcome if you have the target's picture or likeness, +4 if you have a possession of the target's, and +10 if you have part of its body (including hair or part of a nail). These bonuses and penalties all apply together, but each can only apply once.",Detection,22,4,,,,,,,,,,Power,false,false,false,
105,Find Path,"Name a specific location you are familiar with. You gain an awareness of the most direct physical route to reach it. For the duration, while you remain in the same realm as the location, you intuitively sense its distance and direction. When presented with multiple paths, you know which one is the most direct route toward your destination. This Power fails if the destination is in a different realm, is mobile (such as a floating fortress), or is too vague (like 'a dragon's lair').",Detection,20,4,,,,,,,,,,Power,false,false,false,
106,Enrich Plantlife,"Enrich all plant life within the range of this Power from you. The crops recover from any temporary ailment or illness, edible harvest from these crops if any is doubled for the next 30 days, although the currency value remains that of a normal harvest.",Creation Utility,4,2,+4 EN to make this 200 meters instead.,4,1,+8 EN to make this 1 kilometer instead.,8,1,,,,Power,false,false,false,
107,Liquid Walk,"Target gains the ability to walk across any liquid as if it was a solid surface. Target may spend a quick action to sink into the liquid like normal, but cannot walk on the surface again until it would be able to get above the liquid.",Creation Utility,4,2,+2.5 EN to allow you to walk on harmful surfaces without being affected.,2.5,1,,,,,,,Power,false,false,false,
108,Create,"You transform raw materials into finished products of the same material. For instance, you might craft a wooden bridge from a stand of trees, a rope from a patch of hemp, or clothing from flax or wool. Select raw materials within view and range. With a sufficient quantity, you can fabricate a Large or smaller object, fitting within a 1 space cube or up to four connected 1 space cubes. If using metal, stone, or another mineral substance, however, the finished object can be no larger than Medium, fitting within a 1 space cube. The quality of any created objects depends on the quality of the raw materials. This effect cannot create creatures or magic items, nor can it produce items that require a high degree of craftsmanship—such as weapons or armor—unless you are proficient with the appropriate skill(s) required for their crafting.",Creation Utility,12,2,+7 EN to double the amounts of a 1 space cube or up to four connected 1 space cubes to a 2 space cube or eight connected 1 space cubes.,7,1,,,,,,,Power,false,false,false,
109,Speak with the Dead,"Cause a corpse to answer one question it might have answered in life, with no obligation to speak honestly. The answers may be cryptic or repetitive. Once five questions have been asked, or after 10 minutes, the corpse returns to its inanimate state.",Summoning,4,4,+2 EN per additional question.,2,1,,,,,,,Power,false,false,false,
110,Health Summon,"Summon a Creature from Another Location or Realm: You may summon a creature by paying Health or EN. The summon stays until killed. The cost is +6 Health and/or EN total for each 1/4th level of the summon. Your maximum Health and/or EN is permanently lowered by the amount spent. These maximums revert to normal when the summon dies or is dismissed (a free action), but you do not regain the lost points immediately, only your maximum returns. For determining energy costs, this Power part costs the total amount of Health and EN spent. You must decide the level and creature you summon when creating this Power. (See Summoning and Summon Creation Rules in the Core Rulebook).",Summoning,0,4,The cost is +6 Health and/or EN total for each 1/4th level of the summon.,6,1,,,,,,,Power,false,false,false,
111,Power Summon,Create or Summon a Temporary Creature: You summon a creature that lasts for 5 minutes at a base cost of 6 EN + 1 TP per 1/4th level of the summon. You must decide the level and creature summoned when creating this Power.,Summoning,0,1,"1 TP, 6 EN per 1/4th level of the summon",6,2,+1.5 EN for each additional 5 minutes.,1.5,1,,,,Power,false,false,false,
112,Neutral Summon,Summon an Unaligned Creature: You summon a creature with no dedicated agenda or alliance. The creature is controlled by the Realms Master and behaves according to the situation. The summon lasts until a full recovery or until killed.,Summoning,0,1,"1 TP, per 1/4th level of the summon.",4,2,,,,,,,Power,false,false,false,
113,Raise Undead,"Raise an Undead Servant: While in range of a mostly intact corpse, you can raise an undead creature. The creature becomes a mindless summon under your control, with no memory or personality from its past life. It lasts until a full recovery or until killed. Use the same stat block as the creature had in life but replace its intelligence with -2. It gains resistance to necrotic damage and a weakness to spiritual damage. (See Summoning Rules in the Core Rulebook). You can decide the level of the creature raised when using this Power, paying the corresponding energy cost.",Summoning,0,1,"1 TP, per level of the creature.",9,2,,,,,,,Power,false,false,false,
114,Weapon Summon,"Summon a Weapon to Hand: You summon a weapon directly to your hand. You are considered proficient with this weapon for the duration. If the weapon requires ammunition, you have access to it for the duration. The weapon lasts for 1 minute. You may decide which weapon to summon when using this Power, provided its TP cost is within the limit of what the Power allows.",Summoning,0,2,1.5 EN for each 1 TP of the weapon's proficiency cost,1.5,1,,,,,,,Power,false,false,false,
115,Summon or Beast Senses,"Merge your perception and senses with that of a willing target creature that is a summon, familiar, or beast. You temporarily replace your Acuity with the target's and can perceive through its senses including special senses. Target's mental fortitude or resolve if the target is unwilling.",Summoning,4,2,,,,,,,,,,Power,false,false,false,
116,Resurrection,"While in range of part of a dead target and return it to life with maximum Health and any missing body parts restored, as long as the target died within the last ten years. This Power part takes 1 hour to use.",Adaptation,75,22,+15 EN for each additional 10 years the target has been dead.,15,1,,,,,,,Power,false,false,false,
