id,name,description,req_desc,ability_req,abil_req_val,skill_req,skill_req_val,feat_cat_req,pow_abil_req,mart_abil_req,pow_prof_req,mart_prof_req,speed_req,feat_lvl,lvl_req,uses_per_rec,rec_period,category,ability,tags,char_feat,state_feat
29,Animal Speaking,"You may spend a basic action to gain the ability to speak with animals using simple universal language. Only you can understand their replies, and the animals can only understand you.",,,,,,,,,,,,1,3,2,Partial,Utility,,Speak with Animals,true,false
30,Arcane Analyst,"When attempting to appraise or understand an enhanced item, you may add 1/2 of your Intelligence to the roll if you've encountered something similar before, even if the Roll already uses Intelligence.",,,,,,,,,,,,1,,,,Utility,Intelligence,Arcane,true,false
31,Arcane Ward,"Choose a power part category (Charm, Defense, Illusion, Control, etc.). The first time you use a non-innate power each Full Recovery, with only parts of this type (and General/Mechanic parts), you overheal an amount equal to your level plus your power ability. Each time you use this type of power after this, you only overheal an amount equal to half of your level.",,,,,,,2,,2,,,1,,,,Utility,,"Power,Overheal,",false,false
32,Arcane Ward II,"The first time you use a non-innate power each Full Recovery, with only parts of this category (and General/Mechanic parts), you overheal an amount equal to double your level plus your power ability. Each time you use this type of power after this, you only overheal an amount equal to your level.",,,,,,,2,,3,,,2,5,,,Utility,,"Power,Overheal,",false,false
33,Armament Recycling,"You can harvest materials from armaments in half the regular time. When using materials harvested from armaments to craft, increase their effective currency value by 50%.",Proficiency in the skill required to craft the armament you are harvesting from.,,,Craft,,,,,,,,1,,,,,,,true,false
34,Armor Bearer,Decrease the Training Point requirement to acquire proficiency with armor properties by 1 to a minimum of 1 (You spend one fewer Training Point per armor property proficiency gained.) You may regain any Training Points you would have saved this way on already acquired proficiencies.,,,,,,,,,,,,1,,,,Utility,,"Training Points,Armor Properties,",false,false
35,Assassin's Blade,"You gain access to the ""Solution Compartment"" weapon part, which will allow solutions to be applied to the weapon without losing potency over time. Weapons with this part require at least one glassblower to take part in the crafting process.",Proficiency in the Tinker sub-skill,,,Tinker,,,,,,,,1,,,,Offense,Intelligence,"Craft,Skill,Stealth,Poison",true,false
36,Assassin's Delight,"Add 1d2 damage to attacks for every enemy death this combat, up to 1d6. This effect lasts 2 rounds but is refreshed after every enemy death.",,,,,,,,,,,,1,,,,Offensive,,Damage Increase,false,false
37,Astral Projection,"As part of activating this state, or as a basic action during a state, you may step out of your body. While in this state, you gain: 1. Resistance to physical attacks and vulnerability to Holy/Spiritual damage, 2. A flying speed equal to 1/2 your movement speed, 3. The ability to pass through solid objects (anything that hosts no spirit). When you enter this state, your body falls prone and is left in a state of suspended animation. You may choose to end this effect as a free action on your turn, either having your spirit return to your body or vice versa.",,,,,,,,,,,,1,3,1,Full,Utility,,"State,Astral Form,",false,true
38,Astral Reach,"When you make an attack with unarmed prowess, you may use a free action to gain the ""Reach"" property on all unarmed prowess attacks for 3 rounds, increasing the melee range of your unarmed prowess by 1.",,,,,,,,,,,,1,,2,Partial,Offensive,,"Unarmed Prowess,Reach,",false,false
39,Astral Sight,You can see in normal and magical darkness out to 12 spaces.,The ability to see in darkness,,,,,,,,,,,1,10,,,Utility,,Astral Sight,true,false
40,Astute Discovery,"When rolling a skill to gain or recall knowledge, or learn about something new, even if you fail the check, you still obtain a piece of true information. You are unaware which piece of information this is as given you by the Realm Master.",,Intelligence,2,,,,,,,,,1,,,,Utility,Intelligence,"Knowledge,Recall,Learn,",true,false
41,Astute Tracking,"When you make a successful roll to track, you also learn the tracked creature's creature type(s) and how many you are tracking.",,,,,,,,,,,,1,,,,Utility,,Track,true,false
42,At the Ready,Gain +8 on initiative rolls. If you would be surprised you may choose to sacrifice this bonus to not become surprised.,,,,,,,,,,,,1,,,,Utility,,Initiative,false,false
43,Attack of Opportunity,"If a creature leaves your melee range, you may react by spending 2 AP to take a basic action.",,,,,,,,,,,,1,,,,Offensive,,"Reaction,Basic Action,Melee,",false,false
44,Attack of Opportunity II,"If a creature moves out of your melee range, you may react by spending 2 AP to take a basic action. Upon hitting the creature you may cause it's speed to become 0 for the turn instead. ",,,,,,,,,,,,2,4,,,,,,false,false
45,Attack of Opportunity III,"If a creature moves out of or into your melee range, you may react by spending 2 AP to take a basic action. Upon hitting the creature you may cause it's speed to become 0 for the turn instead.",,,,,,,,,,,,3,7,,,,,,false,false
46,Attack Pattern Prediction,"Increase your Evasion by +1 for every 2 times you are attacked by a chosen target, up to a maximum of +3.",,"Acuity, Agility","2, 2",,,,,,,,,1,3,,,Defensive,Agility,"Evasion Increase,Attacked Triggered,",false,false
47,Aura of Speed,Gain 2 to your speed. Creatures other than you who start their turn within 2 spaces of you gain 2 to their speed for the round.,,,,,,,,,,,,1,,,,Utility,,"State,Movement,Ally,",false,true
48,Awakened Power,"When using a power with the ""rite"" power part, you may cast it as a Basic Action instead.",,,,,,,,,,,,1,,1,Full,Utility,,"Power,Rite,",false,false
49,Backstab,"When attacking while hidden from your target, gain an extra 1d4 damage. You may level this feat, increasing the die by 1d4 each level.",,,,,,,,,,,,1,,,,Offensive,,"Hidden,Damage Increase,",false,false
50,Balance,"As a basic reaction to a creature you can see rolling a d20 with outside bonuses or penalties, you may choose to remove all outside bonuses or penalties. Outside bonuses and penalties could be bonuses from feats, powers, techniques, or other environmental factors that are not an archetype attack bonus or skill bonus.",,,,,,,,,,,,1,,2,Full,Utility,,Reaction,false,false
51,Bastion,"As a basic action, you may give a creature you can see within 6 spaces other than you a number of d8s which they can use as part of a free reaction to taking damage, reducing the damage by the amount rolled on the d8s. The number of dice you may give is represented by uses of this feat, you can give as many or few as you desire. They lose all dice when taking a Full Recovery.",,,,,,,,,,,,1,,4,Full,Defensive,,"Damage Reduction,Ally,",false,false
52,Battle Magic,"When you use a power with a basic action, you may use a quick action to attack with a weapon as well. This attack has no multiple attack penalty but increases this penalty for future actions as normal.",,,,,,,,,,,,1,,,,Offensive,,"Power,Weapon Attack,Quick Action,",false,false
53,Battle-Ready,You may sleep without doffing armor.,,,,,,,,,,,,1,,,,Utility,,"Rest,Armor",true,false
54,Battlefield Tactician,"Make an Analyze skill roll against the Resolve of an enemy you can see. On a success, each ally who can hear you gains a +1 to attack rolls against the target for 3 rounds. This effect cannot stack.",Acuity or Intelligence of at least 3,,,,,,,,,,,1,,2,Full,Offensive,Acuity,"Attack Roll Increase,Support,Analyze,",false,false
55,Battlefield Tactician II,"Make an Analyze skill roll against the Resolve of an enemy you can see. On a success, each ally who can hear you gains a +2 to attack rolls against the target for 3 rounds. This effect cannot stack.",Acuity or Intelligence of at least 3,,,,,,,,,,,2,4,3,Full,Offensive,Acuity,"Attack Roll Increase,Support,Analyze,",false,false
56,Battlefield Tactician III,"Make an Analyze skill roll against the Resolve of an enemy you can see. On a success, each ally who can hear you gains a +2 to attack rolls against the target for 4 rounds. This effect cannot stack.",Acuity or Intelligence of at least 4,,,,,,,,,,,3,6,5,Full,Offensive,Acuity,"Attack Roll Increase,Support,Analyze,",false,false
57,Beast Sense,"You may spend a basic action to touch a willing animal or beast and gain the ability to see, hear, taste, and smell as if you were the animal, and you retain the ability to perceive through your own senses. This effect lasts until you choose to end it or for 1 hour, whichever comes first.",,,,,,,,,,,,1,3,1,Partial,Utility,,Beast Sense,true,false
58,Beguiling Magic,"When you use a non-innate power with a charm or illusion part, you may choose a creature within 12 spaces. The target rolls Resolve against your Potency and becomes your choice of frightened 2 or charmed for 1 minute on a failure.",At least 20 Max Energy,,,,,,,,,,,1,,1,Partial,Control,,"Power,Charm,Illusion,Frighten",false,false
59,Bend Fate,"When a creature you can see within 12 spaces rolls a d20, you may use a quick reaction roll 1d4, adding or reducing that number from the roll before or after knowing the results.",,,,,,,,,,,,1,,2,Partial,Utility,,"Quick Reaction,Dice Manipulation",true,false
60,Bend Fate II,"When a creature you can see within 12 spaces rolls a d20, you may use a quick reaction roll 1d6, adding or reducing that number from the roll before or after knowing the results.",,,,,,,,,,,,2,4,2,Full,Utility,,"Quick Reaction,Dice Manipulation",true,false
61,Bend Fate III,"When a creature you can see within 12 spaces rolls a d20, you may use a quick reaction roll 1d6, adding or reducing that number from the roll before or after knowing the results.",,,,,,,,,,,,3,6,4,Partial,Utility,,"Quick Reaction,Dice Manipulation",true,false
62,Bend Fate IV,"When a creature you can see within 12 spaces rolls a d20, you may use a quick reaction roll 1d8, adding or reducing that number from the roll before or after knowing the results.",,,,,,,,,,,,4,8,5,Partial,Utility,,"Quick Reaction,Dice Manipulation",true,false
63,Berserk,"While in Terminal, increase your Strength by +1/4.",,Strength,2,,,,,,,,,1,,,,Ability Increase,Strength,Terminal,false,false
64,Berserk II,"While in Terminal, increase your Strength by +1/2.",,Strength,3,,,,,,,,,2,4,,,Ability Increase,Strength,Terminal,false,false
65,Berserk III,"While in Terminal, double your Strength.",,Strength,4,,,Strength,,,,,,3,10,,,Ability Increase,Strength,Terminal,false,false
66,Blessed Healer,"When you heal creature(s) with a power, you heal yourself for 1 for every 5 Energy that power cost.",,,,,,,,,,,,1,,,,Support,,"Power,Heal,Self Heal,",false,false
67,Blessed Healer II,"When you heal creature(s) with a power, you overheal yourself for 1 for every 5 Energy that power cost.",,,,,,,,,,,,2,4,,,Support,,"Power,Heal,Self Heal,",false,false
68,Blessed Healing State,"When you heal creature(s) with a power, you heal yourself for 2 for every 5 energy that power cost.",,,,,,,,,,,,1,,,,Support,,"State,Heal,Self Heal,",false,true
69,Blessed Healing State II,"When you heal creature(s) with a power, you overheal yourself for 2 for every 5 energy that power cost.",,,,,,,,,,,,2,4,,,Support,,"State,Heal,Self Heal,",false,true
70,Blessed Trickster,"As a basic action, you may choose a creature within 12 spaces and give them +2 on any Stealth or Hide rolls they make. Treat failure on these rolls as one Failure more. This effect persists until you take a full recovery. You may use this feat as many times as you'd like, but once you use it, the effect ends on any other creature you've used it on.",,,,,,,,,,,,1,,,,Support,,"Basic Action,Stealth",true,false
71,Blessed Trickster II,"As a basic action, you may choose a creature within 12 spaces and give them +4 on any Stealth or Hide rolls they make. Treat failure on these rolls as one Failure more. This effect persists until you take a full recovery. You may use this feat as many times as you'd like, but once you use it, the effect ends on any other creature you've used it on.",,,,,,,,,,,,2,4,,,Support,,"Basic Action,Stealth",true,false
72,Blindsight,You can perceive your surroundings without relying on sight out to 3 spaces.,,,,,,,,,,,,1,4,,,Utility,,Blindsight,true,false
73,Blindsight II,You can perceive your surroundings without relying on sight out to 6 spaces.,,,,,,,,,,,,2,12,,,Utility,,Blindsight,true,false
74,Blindsight III,You can perceive your surroundings without relying on sight out to 12 spaces.,,,,,,,,,,,,3,18,,,Utility,,Blindsight,true,false
75,Blood in the Eye,"When a creature deals critical damage to you, decrease their rolls to hit by 2 for 3 rounds. This effect cannot stack with itself.",,,,,,,,,,,,1,,,,Defensive,,"Critical Hit,Attack Debuff,",false,false
76,Blood in the Eye II,"When a creature deals critical damage to you, decrease their rolls to hit by 3 for 3 rounds. This effect cannot stack with itself.",,,,,,,,,,,,2,4,,,Defensive,,"Critical Hit,Attack Debuff,",false,false
77,Blood Magic,"When your Energy is at or would go below 0, you may choose to use 3 of your Health for every 2 Energy you spend. If your Vitality is less than 0, you must use 2 Health per 1 Energy.",,,,,,,,,,,,1,,,,Utility,,"Energy,Health,",false,false
78,Bloodlust,"Increase your Strength by +1 for each terminal enemy in a combat encounter, losing the increase when said creatures die, leave the combat, or are healed from terminal. Maximum of +3.",,Strength,2,,,,,,,,,1,,,,Ability Increase,Strength,"Terminal,Enemy Count,",false,false
79,Bloodrush,"Increase your Agility by +1 for each terminal in a combat encounter, losing the increase when said creatures die, leave the combat, or are healed from terminal. Maximum of +3",,Agility,2,,,,,,,,,1,,,,Ability Increase,Agility,"Terminal,Enemy Count,",false,false
80,Body of Resistance,"You have resistance to your choice between piercing, bludgeoning, or slashing damage. You can take this feat multiple time, but must be at least level 10 the second time you take it, and level 15 the third. The Vitality requirement increases by 1 for each additional time you take this feat.",,Vitality,4,,,,,,,,,1,5,,,Defensive,,"Damage Resistance,Piercing Damage,Bludgeoning Damage,Slashing Damage",false,false
81,Body Positive,"Once per round when you deal critical damage using unarmed prowess you may increase your Charisma by 1 for 2 rounds. This effect cannot stack with itself, but renews the duration each time it is triggered while already active.",,Vitality,2,,,,,,,,,1,,,,Offensive,Vitality,"Damage,Charisma Bonus",true,false
82,Body Positive II,"Once per round when you deal critical damage using unarmed prowess you may increase your Charisma by 2 for 3 rounds. This effect cannot stack with itself, but renews the duration each time it is triggered while already active.",,Vitality,2,,,,,,,,,2,4,,,Offensive,Vitality,"Damage,Charisma Bonus",true,false
83,Book of Life,"After finishing a Full Recovery, you may choose 6 creatures. Whenever one of these creatures would enter the dying condition while you can see them, you may spend this feat's use as a free reaction to cause them to drop to 1 Health instead. Only 6 creatures can be chosen at a time.",,,,,,,,,,,,1,,1,Full,Support,,"Full Recovery,Dying Condition,",false,false
84,Book of Life II,"After finishing a Full Recovery, you may choose 6 creatures. Whenever one of these creatures would enter the dying condition while you can see them, you may spend this feat's use as a free reaction to cause them to drop to 1 Health instead. Only 6 creatures can be chosen at a time.",,,,,,,,,,,,2,4,2,Full,Support,,"Full Recovery,Dying Condition,",false,false
85,Brandish,"When you are holding a weapon and roll to Intimidate, you treat rolls as one Success higher.",,,,,,,,,,2,,1,,,,Utility,,"Intimidation,Weapon",true,false
86,Brandish II,"When you are holding a weapon roll to Intimidate, you treat rolls as two Successes higher.",,,,,,,,,,2,,2,7,,,Utility,,"Intimidation,Weapon",true,false
87,Breath Regulation,When holding your breath you can double the length of time you're able to do so provided you move no more than 1 space each round.,,,,,,,,,,,,1,,,,,,,true,false
88,Bribes,"When making Charisma Skill rolls to Persuade or Charm those of a higher social or economic class than you, you may spend 50 in currency to increase the roll bonus by +1, turning over the currency to the individual. Each 50 turned on grants you +1 to the roll. Sometimes characters don't take bribes.",,,,"Deceive, Persuade","1, 1",,,,,,,1,,,,Utility,Charisma,"Social,Skill",true,false
89,Brutal Critical,"When you achieve a critical hit, you deal 4 extra damage.",,,,,,,,,,,,1,,,,Offensive,,"Critical Hit,Damage Increase,",false,false
90,Brutal Critical II,"When you achieve a critical hit, you deal 6 extra damage.",,,,,,,,,,,,2,4,,,Offensive,,"Critical Hit,Damage Increase,",false,false
91,Brutal Critical III,"When you achieve a critical hit, you deal 8 extra damage.",,,,,,,,,,,,3,6,,,Offensive,,"Critical Hit,Damage Increase,",false,false
92,Brutal Critical IV,"When you achieve a critical hit, you deal 10 extra damage.",,,,,,,,,,,,4,8,,,Offensive,,"Critical Hit,Damage Increase,",false,false
93,Brute Force,"When making martial attacks, treat rolling 1's on damage dice as rolling 2's instead.",,,,,,,,3,,2,,1,,,,Offensive,"Strength, Agility, Acuity","Critical,Damage,Reliability,",false,false
94,Brute Force II,"When making martial attacks, treat any roll on your damage dice that is less than a quarter of the die size as equal to a quarter of the die size (i.e. 2 for 1d6, 2 for 1d8, 3 for 1d12, and 4 for 2d8).",,,,,,,,3,,3,,2,5,,,Offensive,"Strength, Agility, Acuity","Critical,Damage,Reliability,",false,false
95,Brute Force III,"When making martial attacks, treat any roll on your damage dice that is less than half the die size as equal to half the die size (i.e. 3 for 1d6, 4 for 1d8, and 8 for 2d8).",,,,,,,,4,,4,,3,10,,,Offensive,"Strength, Agility, Acuity","Critical,Damage,Reliability,",false,false
96,Brute Savagery,"When you achieve a critical hit, the target hit becomes Frightened 2 of you for 2 rounds, using your Potency to overcome on subsequent rounds.",,,,,,,,,,,,1,,,,Offensive,,"Critical Hit,Frightened,",false,false
97,"Bump, Set, Spike","When attacking a target that is not touching the ground, increase your attack roll by +3.",,,,,,,,,,,,1,,,,Offensive,,Attack Bonus,false,false
98,Calculated Navigation,"When you attempt to navigate, you may spend 10 additional minutes in preparation prior to rolling then treating successes as one Success higher.",,Intelligence,1,Navigate,,,,,,,,1,,,,Utility,,Navigate,true,false
99,Camouflage,"When you or an ally are attempting to use the Hide skill, you may spend 10 minutes per person to grant a bonus to the roll equal to the Skill Bonus of your Artistry Skill.",,,,Artistry,,,,,,,,1,,,,Utility,Agility,"Stealth,Skill",true,false
100,Captivating Performance,"After entertaining or performing for an audience for at least 1 minute, you gain a +2 bonus on Charm skill rolls when interacting with members of that audience for the next 24 hours.",,,,Perform,2,,,,,,,1,,,,Utility,,"Charm,Performance,Audience,",true,false
101,Careful Blaster,"When using an Area of Effect Power that would harm you or your allies, you may choose a number of creatures equal to 1/2 your Power Bonus to automatically Overcome that power. If the power would deal half damage on a Successful Overcome, it instead deals no damage to those creatures.",,,,,,,,,1,,,1,,,,Utility,,"Power,Area of Effect,Ally,Damage Avoidance",false,false
102,Careful Blaster II,"When using an Area of Effect Power that would harm you or your allies, you may choose a number of creatures equal to your Power Bonus to automatically Overcome that power. If the power would deal half damage on a Successful Overcome, it instead deals no damage to those creatures.",,,,,,,,,2,,,2,4,,,Utility,,"Power,Area of Effect,Ally,Damage Avoidance",false,false
103,Careful Investigation,When rolling to Investigate an object that requires you to touch and manipulate it you have a +10 to overcome any negative effect that would occur as a result of the investigation and manipulation.,,,,Investigate,,,,,,,,1,,,,,,,true,false
104,Catch Projectile,"As a Quick Reaction to being attacked by a physical projectile, roll an unarmed prowess attack against the attack roll; if you meet or exceed the attack roll, you take 1d10 less damage. If this reduces the entire damage, you catch the projectile and can make an unarmed prowess ranged attack with at a target within 6 spaces using that same projectile as part of the same reaction.",,Agility,3,,,"acuity, agility, defensive",,,,,,1,,,,Damage Reduction,Agility,"Reaction,Unarmed Prowess,Projectile,",false,false
105,Catch Projectile II,"As a Quick Reaction to being attacked by a physical projectile, roll an unarmed prowess attack against the attack roll; if you meet or exceed the attack roll, you take 1d12 + Martial Bonus less damage. If this reduces the entire damage, you catch the projectile and can make an unarmed prowess ranged attack with at a target within 6 spaces using that same projectile as part of the same reaction.",,Agility,4,,,"acuity, agility, defensive",,,,,,2,4,,,Damage Reduction,Agility,"Reaction,Unarmed Prowess,Projectile,",false,false
106,Cavalry,Increase Strength by +1 while on a mount.,,,,,,,,,,,,1,,,,Utility,,"Strength Bonus,Mount,",false,false
107,Cavalry II,Increase Strength by +2 while on a mount.,,,,,,,,,,,,2,4,,,Utility,,"Strength Bonus,Mount,",false,false
108,Champion,"When you make martial attacks, your critical range is lowered by 1.",,,,,,,,2,,1,,1,3,,,Offensive,,"Martial Attack,Critical Range,",false,false
109,Champion II,"When you make martial attacks, your critical range is lowered by 2.",,,,,,,,3,,3,,2,6,,,Offensive,,"Martial Attack,Critical Range,",false,false
110,Channel Power,"While in Combat when using a Power as part of a Prepared Action, the Power costs 3 Energy less to use to a minimum of 1.",,,,,,,,,1,,,1,,1,Partial,Utility,,"Power,Focus,Sustain,Free Cast",false,false
111,Charge Attack,"After taking the Move Action this turn, add +2 to your next Attack Roll. If you move more than 8 spaces in a straight line before attacking you can either add an additional +2 to hit or you can attempt to knock the target prone if you hit instead, rolling Might against your Potency.",,Agility,2,,,,,,,,6,1,,3,Partial,,,,false,false
112,Charged Unarmed Prowess,"When making an attack with your unarmed prowess, you can change the damage type to Magic instead of Bludgeoning. You must choose this before dealing damage.",,,,,,,,,,,,1,5,,,Offensive,Agility,"Unarmed Prowess,Change Damage Type,Magic Damage,",false,false
113,Charming Elusion,Increase your Evasion by 1/4 of your Charisma.,,Charisma,3,,,,,,,,,1,,,,Defensive,Charisma,Evasion Increase,false,false
114,Charming Elusion II,Increase your Evasion by 1/2 of your Charisma.,,Charisma,4,,,,,,,,,2,6,,,Defensive,Charisma,Evasion Increase,false,false
115,Climber,You gain a Climb Speed equal to your Speed.,,Strength,1,Athletics,,,,,,,,1,,,,Movement,,Climbing,true,false
116,Cloak of Shadow,"When you are Obscured by any level of darkness, you may spend a quick action to become Invisible until you take any other action or become unobscured from darkness.",,,,,,,,,,,,1,,3,Partial,Utility,,"Invisible,Quick Action,Darkness,",false,false
117,Cloak of Shadow II,"When you are Obscured by any level of darkness, you may spend a quick action to become Invisible until you take any other action other than the Movement, Ability Roll, or Interaction Actions. You also lose invisibility if you lose the darkness obscurity.",,,,,,,,,,,,2,4,4,Partial,Utility,,"Invisible,Quick Action,Darkness,",false,false
118,Closing Remarks,"While in Terminal, increase your Charisma by +1/4.",,Charisma,2,,,,,,,,,1,,,,Ability Increase,Charisma,Terminal,false,false
119,Closing Remarks II,"While in Terminal, increase your Charisma by +1/2.",,Charisma,3,,,,,,,,,2,4,,,Ability Increase,Charisma,Terminal,false,false
120,Closing Remarks III,"While in Terminal, double your Charisma.",,Charisma,4,,,Charisma,,,,,,3,10,,,Ability Increase,Charisma,Terminal,false,false
121,Combat Analysis,"When you roll Analyze totaling +8 or above a target's Resolve, lower your Critical Range against the target by 1. This effect can stack to a maximum reduction of 2.",Acuity or Intelligence of at least 3,,,,,,,,,,,1,,,,Offensive,Acuity,"Critical Range Reduction,Analyze,",false,false
122,Combat Analysis II,"When you roll Analyze totaling +6 or above a target's Resolve, lower your critical range against the target by 1. This effect can stack to a maximum reduction of 4.",Acuity or Intelligence of at least 4 and at least one other Acuity or Intelligence-based feat.,,,,,"Acuity, Itelligence",,,,,,2,4,,,Offensive,Acuity,"Critical Range Reduction,Analyze,",false,false
123,Combat Athlete,"When you achieve a critical hit, you may immediately move up to 6 spaces for free.",,,,,,,,,,,,1,3,,,Movement,Agility,"Speed Increase,Critical Hit,",false,false
124,Combat Inspiration,"When a creature within 12 spaces hits a creature with an attack, you may cause it to use a quick reaction and add 1d6 to its damage dealt (if any). Taking this feat again can increase the number of uses or the size of the die by 1d2.",,Charisma,3,,,,,,,,,1,,3,Partial,Support,,"Quick Reaction,Damage Increase,Ally,",false,false
